CVLN Academy — Cartographie 2D Marché × Système CVLN,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
KPI,Valeur,,Contexte,Nombre,,Domaine,Objets
Objets cartographiés,812,,EXTERNAL,437,,FREK,75
Métiers / formations marché,437,,INTERNAL,162,,Fondation Cœurvolan,74
Compétences internes CVLN,220,,BRIDGE,123,,CVLN Group,72
Compétences cross-ecosystem,153,,INTERNAL_RESTRICTED,64,,Cross-CVLN,67
,,,INTERNAL_PRIVILEGED,25,,DJ Sayd,51
,,,TO_RECONCILE,1,,Good Mood,43
Doctrine : EXTERNAL = marché ; INTERNAL = système CVLN ; BRIDGE = passerelle. Certification ≠ habilitation. Les Academy verticales maîtrisent un domaine ; la couche XCV apprend les interfaces et chaînes sans dupliquer les métiers verticaux.,,,,,,CVLN CyberSecure,42
,,,,,,Blockchain Innovations,40
,,,,,,Gala Cook & Food,38
,,,,,,LabelOS,37
,,,,,,CVLN Hospitality,31
,,,,,,CVLN Wallet,28
,,,,,,Agent Factory,25
,,,,,,Intelligence OS,25
,,,,,,KORA,19
,,,,,,CVE,15
,,,,,,Tokenomics,15
,,,,,,CVLN Brain,15
,,,,,,Command Center,15
,,,,,,Kiltikonet,12
,,,,,,FMS,12
,,,,,,Founder / CEO,12
,,,,,,Blockchain / Tokenomics,11
,,,,,,Laurentia,10
,,,,,,Intelligent Operations,10
,,,,,,Agent Factory / Laurentia,9
,,,,,,Wallet/CVE,9
