Domaine,Code,Intitulé,Dimension,Contexte,Type,Statut,Notes
Kiltikonet,KLT-09,Network & Community Operations,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
Kiltikonet,KLT-10,Cultural Data & Network Analytics,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
Kiltikonet,KLT-11,Cultural Identity & Profile Intelligence,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
Kiltikonet,KLT-12,"Cultural Search, Discovery & Recommendation",SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
Kiltikonet,KLT-13,"Terrain Operations, Accreditation & NFC",SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
Kiltikonet,KLT-14,Kiltikonet Economy & Fintech Operations,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
Kiltikonet,KLT-15,Professional Social & Cultural Feed Operations,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
Kiltikonet,KLT-16,Kiltikonet AI & Brain Operations,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
Kiltikonet,KLT-17,"Identity, Access & Platform Security Operations",SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
Kiltikonet,KLT-18,Cultural Communications & Engagement Operations,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
Kiltikonet,KLT-19,Opportunity & Candidature Operations,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
Kiltikonet,KLT-20,Cultural Network Intelligence & Smart Engine,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
FREK,FRK-03,FREK Operator,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
FREK,FRK-06,FREK-ID Operations,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
FREK,FRK-16,FREK Digital Notary,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
FREK,FRK-39,FREKANSLA Operator,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
FREK,FRK-64,FREKCORE Production Operations,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
FREK,FRK-68,FREK Auditor,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
KORA,KOR-OP-01,KORA Platform Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
KORA,KOR-OP-02,KORA Catalog Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
KORA,KOR-OP-03,KORA Creator Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
KORA,KOR-OP-04,KORA Editorial Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
KORA,KOR-OP-05,KORA Playback Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
KORA,KOR-OP-06,KORA Media Ingestion & Delivery Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
KORA,KOR-OP-07,KORA Subscription & Entitlement Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
KORA,KOR-OP-08,KORA Monetization Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
KORA,KOR-OP-09,KORA Rights Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
KORA,KOR-OP-10,KORA Trust & Safety Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
KORA,KOR-OP-11,KORA Data Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
KORA,KOR-OP-12,KORA Release Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
LabelOS,LOS-OP-01,LabelOS Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
LabelOS,LOS-OP-02,Roster Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
LabelOS,LOS-OP-03,Catalog Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
LabelOS,LOS-OP-04,Metadata Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
LabelOS,LOS-OP-05,Release Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
LabelOS,LOS-OP-06,Rights Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
LabelOS,LOS-OP-07,Contract Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
LabelOS,LOS-OP-08,Royalty Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
LabelOS,LOS-OP-09,Distribution Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
LabelOS,LOS-OP-10,LabelOS A&R Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
LabelOS,LOS-OP-11,Campaign Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
LabelOS,LOS-OP-12,Catalog Quality Controller,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
LabelOS,LOS-OP-13,LabelOS Administrator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
LabelOS,LOS-OP-14,LabelOS Auditor,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
LabelOS,LOS-OP-15,AI-Assisted Label Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Agent Factory,AF-16,CVLN Agent Factory Operator,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Agent Factory,AF-17,CVLN Agent Architecture & Taxonomy,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Agent Factory,AF-18,Agent Capability & Tool Registry Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Agent Factory,AF-19,Agent Detachment & Mission Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Agent Factory,AF-20,Multi-Agent Mission Orchestration,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Agent Factory,AF-21,Agent Validation & Certification Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Agent Factory,AF-22,"Agent Authority, Delegation & Escalation",SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Agent Factory,AF-23,Autonomous Work & Night Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Agent Factory,AF-24,Agent Audit & Evidence Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Agent Factory,AF-25,"Agent Incident, Rollback & Recovery",SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Laurentia,LAU-01,Laurentia Foundations & Executive Assistance,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Laurentia,LAU-02,Laurentia Context & Intent Operations,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Laurentia,LAU-03,Laurentia Ecosystem Navigation,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Laurentia,LAU-04,Laurentia Task Decomposition & Routing,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Laurentia,LAU-05,Laurentia Agent Selection & Delegation,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Laurentia,LAU-06,Laurentia Multi-Agent Orchestration,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
Laurentia,LAU-07,Laurentia Decision Support,SYSTEM_CVLN,INTERNAL,Internal skill / operator,CANDIDATE,
