source_row,domain,code,title,dimension,context,type,status_2d,economic_status,packaging_v1,public_price_v1,activation_gate,pricing_status,economic_decision
2,Kiltikonet,KLT-09,Network & Community Operations,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,DECIDED_V1,INTERNAL_QUALIFICATION,NOT_FOR_SALE,PRODUCT_VERIFIED + ROLE_DEFINED,DECIDED_V1,ECONOMIC_POLICY_FIXED
3,Kiltikonet,KLT-10,Cultural Data & Network Analytics,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,DECIDED_V1,INTERNAL_QUALIFICATION,NOT_FOR_SALE,PRODUCT_VERIFIED + ROLE_DEFINED,DECIDED_V1,ECONOMIC_POLICY_FIXED
4,Kiltikonet,KLT-11,Cultural Identity & Profile Intelligence,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,DECIDED_V1,INTERNAL_QUALIFICATION,NOT_FOR_SALE,PRODUCT_VERIFIED + ROLE_DEFINED,DECIDED_V1,ECONOMIC_POLICY_FIXED
5,Kiltikonet,KLT-12,"Cultural Search, Discovery & Recommendation",SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,DECIDED_V1,INTERNAL_QUALIFICATION,NOT_FOR_SALE,PRODUCT_VERIFIED + ROLE_DEFINED,DECIDED_V1,ECONOMIC_POLICY_FIXED
6,Kiltikonet,KLT-13,"Terrain Operations, Accreditation & NFC",SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,DECIDED_V1,INTERNAL_QUALIFICATION,NOT_FOR_SALE,PRODUCT_VERIFIED + ROLE_DEFINED,DECIDED_V1,ECONOMIC_POLICY_FIXED
7,Kiltikonet,KLT-14,Kiltikonet Economy & Fintech Operations,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,DECIDED_V1,INTERNAL_QUALIFICATION,NOT_FOR_SALE,PRODUCT_VERIFIED + ROLE_DEFINED,DECIDED_V1,ECONOMIC_POLICY_FIXED
8,Kiltikonet,KLT-15,Professional Social & Cultural Feed Operations,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,DECIDED_V1,INTERNAL_QUALIFICATION,NOT_FOR_SALE,PRODUCT_VERIFIED + ROLE_DEFINED,DECIDED_V1,ECONOMIC_POLICY_FIXED
9,Kiltikonet,KLT-16,Kiltikonet AI & Brain Operations,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,DECIDED_V1,INTERNAL_QUALIFICATION,NOT_FOR_SALE,PRODUCT_VERIFIED + ROLE_DEFINED,DECIDED_V1,ECONOMIC_POLICY_FIXED
10,Kiltikonet,KLT-17,"Identity, Access & Platform Security Operations",SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,DECIDED_V1,INTERNAL_QUALIFICATION,NOT_FOR_SALE,PRODUCT_VERIFIED + ROLE_DEFINED,DECIDED_V1,ECONOMIC_POLICY_FIXED
11,Kiltikonet,KLT-18,Cultural Communications & Engagement Operations,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,DECIDED_V1,INTERNAL_QUALIFICATION,NOT_FOR_SALE,PRODUCT_VERIFIED + ROLE_DEFINED,DECIDED_V1,ECONOMIC_POLICY_FIXED
12,Kiltikonet,KLT-19,Opportunity & Candidature Operations,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,DECIDED_V1,INTERNAL_QUALIFICATION,NOT_FOR_SALE,PRODUCT_VERIFIED + ROLE_DEFINED,DECIDED_V1,ECONOMIC_POLICY_FIXED
13,Kiltikonet,KLT-20,Cultural Network Intelligence & Smart Engine,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,DECIDED_V1,INTERNAL_QUALIFICATION,NOT_FOR_SALE,PRODUCT_VERIFIED + ROLE_DEFINED,DECIDED_V1,ECONOMIC_POLICY_FIXED
14,FMS,FMS-07,Studio Operations & Session Management,MARKET,EXTERNAL,Formation,CANDIDATE,DECIDED_V1,INTENSIVE_HYBRID_WEEK,1400,PRODUCT_VERIFIED + DELIVERY_READY,DECIDED_V1,ECONOMIC_POLICY_FIXED
15,FMS,FMS-08,Recording Engineering,MARKET,EXTERNAL,Formation,CANDIDATE,DECIDED_V1,INTENSIVE_HYBRID_WEEK,1400,PRODUCT_VERIFIED + DELIVERY_READY,DECIDED_V1,ECONOMIC_POLICY_FIXED
16,FMS,FMS-09,Mixing & Mastering,MARKET,EXTERNAL,Formation,CANDIDATE,DECIDED_V1,INTENSIVE_HYBRID_WEEK,1400,PRODUCT_VERIFIED + DELIVERY_READY,DECIDED_V1,ECONOMIC_POLICY_FIXED
17,FMS,FMS-10,Audiovisual Production,MARKET,EXTERNAL,Formation,CANDIDATE,DECIDED_V1,INTENSIVE_HYBRID_WEEK,1400,PRODUCT_VERIFIED + DELIVERY_READY,DECIDED_V1,ECONOMIC_POLICY_FIXED
18,FMS,FMS-11,Creative Direction & Visual Production,MARKET,EXTERNAL,Formation,CANDIDATE,DECIDED_V1,INTENSIVE_HYBRID_WEEK,1400,PRODUCT_VERIFIED + DELIVERY_READY,DECIDED_V1,ECONOMIC_POLICY_FIXED
19,FMS,FMS-12,Event Creative Direction & Live Production,MARKET,EXTERNAL,Formation,CANDIDATE,DECIDED_V1,INTENSIVE_HYBRID_WEEK,1400,PRODUCT_VERIFIED + DELIVERY_READY,DECIDED_V1,ECONOMIC_POLICY_FIXED
20,FMS,FMS-13,A&R & Talent Scouting,MARKET,EXTERNAL,Formation,CANDIDATE,DECIDED_V1,CAREER_ACCESS,129,PRODUCT_VERIFIED + DELIVERY_READY,DECIDED_V1,ECONOMIC_POLICY_FIXED
