UNIT ECONOMICS — DECIDED V1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Produit,Prix,Coût variable,Marge brute,Marge %,Plancher,Gate,Statut,Source
Access,24.9,4.5,20.4,0.8192771084337349,0.8,PASS,DECIDED_V1,ECO-004/ECO-034
Pro,69,13.5,55.5,0.8043478260869565,0.8,PASS,DECIDED_V1,ECO-005/ECO-034
Career,129,32,97,0.751937984496124,0.75,PASS,DECIDED_V1,ECO-006
Path,990,300,690,0.696969696969697,0.65,PASS,DECIDED_V1,ECO-007/ECO-035
Intensive/learner,1400,200,1200,0.8571428571428571,0.55,PASS,DECIDED_V1,ECO-008/ECO-033/ECO-036
Assessment,250,90,160,0.64,0.6,PASS,DECIDED_V1,ECO-009/ECO-037
Certification,390,120,270,0.6923076923076923,0.6,PASS,DECIDED_V1,ECO-010/ECO-037
Renewal,190,60,130,0.6842105263157895,0.6,PASS,DECIDED_V1,ECO-011
B2B Team,12000,4200,7800,0.65,0.55,PASS,DECIDED_V1,ECO-012/ECO-038
B2B Growth,39000,13650,25350,0.65,0.55,PASS,DECIDED_V1,ECO-013/ECO-038
B2B Enterprise,69000,24150,44850,0.65,0.55,PASS,DECIDED_V1,ECO-014/ECO-038
B2G Pilot,35000,15750,19250,0.55,0.45,PASS,DECIDED_V1,ECO-015/ECO-039
B2G Territory,120000,54000,66000,0.55,0.45,PASS,DECIDED_V1,ECO-016/ECO-039
B2G Large,250000,112500,137500,0.55,0.45,PASS,DECIDED_V1,ECO-017/ECO-039
Mission minimum,150,30,120,0.8,0.6,PASS,DECIDED_V1,ECO-019
Methodology/IP,25000,5000,20000,0.8,0.75,PASS,DECIDED_PHASE_2,ECO-021/ECO-040
Academy+Spatial,60000,12000,48000,0.8,0.75,PASS,DECIDED_PHASE_3,ECO-022/ECO-040
White-label annual,120000,24000,96000,0.8,0.75,PASS,DECIDED_PHASE_3,ECO-023/ECO-040
