PLAN 36 MOIS — BASE OPERATING PLAN V1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Produit,Prix,Y1 Volume,Y1 CA,Y2 Volume,Y2 CA,Y3 Volume,Y3 CA
Access member-months,24.9,6000,149400,12000,298800,21600,537840
Pro member-months,69,3000,207000,6000,414000,9600,662400
Career member-months,129,1200,154800,2400,309600,4200,541800
Parcours métier,990,240,237600,500,495000,900,891000
Intensive cohorts (15),21000,24,504000,40,840000,60,1260000
Assessment Only,250,200,50000,450,112500,800,200000
Certification,390,200,78000,400,156000,700,273000
Renewal,190,100,19000,250,47500,500,95000
B2B Team,12000,8,96000,12,144000,18,216000
B2B Growth,39000,4,156000,8,312000,12,468000
B2B Enterprise,69000,2,138000,4,276000,6,414000
B2G Pilot,35000,2,70000,3,105000,4,140000
B2G Territory,120000,2,240000,4,480000,6,720000
B2G Large,250000,0,0,1,250000,2,500000
Mission service fees,150,300,45000,700,105000,1500,225000
Methodology/IP licences,25000,0,0,2,50000,5,125000
Academy+Spatial licences,60000,0,0,1,60000,3,180000
White-label annual,120000,0,0,1,120000,2,240000
White-label setup,25000,0,0,1,25000,2,50000
TOTAL CA,,,2144800,,4600400,,7739040
