Domaine,Code,Intitulé,Dimension,Contexte,Type,Statut,Notes
FMS,FMS-07,Studio Operations & Session Management,MARKET,EXTERNAL,Formation,CANDIDATE,
FMS,FMS-08,Recording Engineering,MARKET,EXTERNAL,Formation,CANDIDATE,
FMS,FMS-09,Mixing & Mastering,MARKET,EXTERNAL,Formation,CANDIDATE,
FMS,FMS-10,Audiovisual Production,MARKET,EXTERNAL,Formation,CANDIDATE,
FMS,FMS-11,Creative Direction & Visual Production,MARKET,EXTERNAL,Formation,CANDIDATE,
FMS,FMS-12,Event Creative Direction & Live Production,MARKET,EXTERNAL,Formation,CANDIDATE,
FMS,FMS-13,A&R & Talent Scouting,MARKET,EXTERNAL,Formation,CANDIDATE,
FMS,FMS-14,Artist Project & Production Coordination,MARKET,EXTERNAL,Formation,CANDIDATE,
FMS,FMS-15,Studio Client & Commercial Operations,MARKET,EXTERNAL,Formation,CANDIDATE,
FMS,FMS-16,"Booking, Resource & Studio Planning",MARKET,EXTERNAL,Formation,CANDIDATE,
FMS,FMS-17,Creative Content & Portfolio Operations,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-01,FREK Foundations & Cultural Trust Infrastructure,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-02,FREKCORE Architecture & Ecosystem,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-04,Cultural Provenance & Digital Trust,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-05,FREK Ecosystem Integration,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-07,Digital Identity Engineering,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-08,DID & Verifiable Credentials,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-09,"Identity Lifecycle, Recovery & Reconciliation",MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-10,"EUDI, SD-JWT & Interoperable Identity",MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-11,Digital Provenance Specialist,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-12,Evidence Engineering,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-13,FREK Proof Engine,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-14,Chain of Custody & Evidence Semantics,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-15,Technical Evidence Reports & Verification,MARKET,EXTERNAL,Formation,CANDIDATE,
