Domaine,Objets,EXTERNAL,INTERNAL,BRIDGE,CROSS,Rôle économique,Commercialisation,Prix référence,Valeur interne,Statut
Agent Factory,25,15,10,0,0,HYBRID MARKET+INTERNAL,B2C/B2B/B2G + internal,Subscription / €990 path / contracts,Measured via internal KPI,DECIDED_V1
Agent Factory / Laurentia,9,0,0,9,9,CROSS/BRIDGE,B2B/B2G/Internal,Program bundle,Indirect,DECIDED_V1
Blockchain / Tokenomics,11,0,0,11,11,CROSS/BRIDGE,B2B/B2G/Internal,Program bundle,Indirect,DECIDED_V1
Blockchain Innovations,40,30,10,0,0,HYBRID MARKET+INTERNAL,B2C/B2B/B2G + internal,Subscription / €990 path / contracts,Measured via internal KPI,DECIDED_V1
CVE,15,0,15,0,0,INTERNAL INFRASTRUCTURE,No public sale,NOT_FOR_SALE,Measured via internal KPI,DECIDED_V1
CVLN Brain,15,0,15,0,0,INTERNAL INFRASTRUCTURE,No public sale,NOT_FOR_SALE,Measured via internal KPI,DECIDED_V1
CVLN CyberSecure,42,30,12,0,0,HYBRID MARKET+INTERNAL,B2C/B2B/B2G + internal,Subscription / €990 path / contracts,Measured via internal KPI,DECIDED_V1
CVLN Group,72,58,14,0,0,HYBRID MARKET+INTERNAL,B2C/B2B/B2G + internal,Subscription / €990 path / contracts,Measured via internal KPI,DECIDED_V1
CVLN Hospitality,31,30,0,0,0,MARKET,B2C/B2B/B2G,Subscription / €990 path,Indirect,DECIDED_V1
CVLN Wallet,28,18,10,0,0,HYBRID MARKET+INTERNAL,B2C/B2B/B2G + internal,Subscription / €990 path / contracts,Measured via internal KPI,DECIDED_V1
Command Center,15,0,15,0,0,INTERNAL INFRASTRUCTURE,No public sale,NOT_FOR_SALE,Measured via internal KPI,DECIDED_V1
Cross-CVLN,67,0,21,46,67,INTERNAL INFRASTRUCTURE,No public sale,NOT_FOR_SALE,Measured via internal KPI,DECIDED_V1
DJ Sayd,51,50,0,2,0,MARKET,B2C/B2B/B2G,Subscription / €990 path,Indirect,DECIDED_V1
FMS,12,11,0,1,1,MARKET,B2C/B2B/B2G,Subscription / €990 path,Indirect,DECIDED_V1
FREK,75,64,6,5,5,HYBRID MARKET+INTERNAL,B2C/B2B/B2G + internal,Subscription / €990 path / contracts,Measured via internal KPI,DECIDED_V1
Fondation Cœurvolan,74,52,13,9,9,HYBRID MARKET+INTERNAL,B2C/B2B/B2G + internal,Subscription / €990 path / contracts,Measured via internal KPI,DECIDED_V1
Founder / CEO,12,12,0,0,0,MARKET,B2C/B2B/B2G,Subscription / €990 path,Indirect,DECIDED_V1
Gala Cook & Food,38,18,12,8,8,HYBRID MARKET+INTERNAL,B2C/B2B/B2G + internal,Subscription / €990 path / contracts,Measured via internal KPI,DECIDED_V1
Good Mood,43,20,14,9,9,HYBRID MARKET+INTERNAL,B2C/B2B/B2G + internal,Subscription / €990 path / contracts,Measured via internal KPI,DECIDED_V1
Intelligence OS,25,0,25,0,0,INTERNAL INFRASTRUCTURE,No public sale,NOT_FOR_SALE,Measured via internal KPI,DECIDED_V1
Intelligent Operations,10,0,10,0,10,INTERNAL INFRASTRUCTURE,No public sale,NOT_FOR_SALE,Measured via internal KPI,DECIDED_V1
KORA,19,0,12,7,7,INTERNAL INFRASTRUCTURE,No public sale,NOT_FOR_SALE,Measured via internal KPI,DECIDED_V1
Kiltikonet,12,0,12,0,0,INTERNAL INFRASTRUCTURE,No public sale,NOT_FOR_SALE,Measured via internal KPI,DECIDED_V1
LabelOS,37,14,15,8,8,HYBRID MARKET+INTERNAL,B2C/B2B/B2G + internal,Subscription / €990 path / contracts,Measured via internal KPI,DECIDED_V1
Laurentia,10,0,10,0,0,INTERNAL INFRASTRUCTURE,No public sale,NOT_FOR_SALE,Measured via internal KPI,DECIDED_V1
Tokenomics,15,15,0,0,0,MARKET,B2C/B2B/B2G,Subscription / €990 path,Indirect,DECIDED_V1
Wallet/CVE,9,0,0,9,9,CROSS/BRIDGE,B2B/B2G/Internal,Program bundle,Indirect,DECIDED_V1
