Offre,Moteur,Acheteur,Objet vendu,Pricing,Prix,Coût variable,Marge brute,Plancher,Décision
Free Orientation,Acquisition,Individu,Découverte,Gratuit,0.0,0.0,0.0,0.0,DECIDED_V1
Academy Access,B2C Learning,Individu,Bibliothèque + fondamentaux,Mensuel,24.9,4.5,20.4,0.8,DECIDED_V1
Academy Pro,B2C Learning,Individu/pro,Catalogue externe complet,Mensuel,69.0,13.5,55.5,0.8,DECIDED_V1
Academy Career,B2C Career,Professionnel,Pro + assessments + portfolio,Mensuel,129.0,32.0,97.0,0.75,DECIDED_V1
Parcours métier,B2C Learning,Individu/financeur,Parcours 12 mois,Unitaire,990.0,300.0,690.0,0.65,DECIDED_V1
Intensive Hybrid Week,Cohorte,Individu/entreprise/institution,5 jours intensifs,Par apprenant,1400.0,200.0,1200.0,0.55,DECIDED_V1
Assessment Only,Certification,Professionnel,Évaluation indépendante,Unitaire,250.0,90.0,160.0,0.6,DECIDED_V1
Certification Academy,Certification,Apprenant/pro,Assessment + jury + preuve,Unitaire,390.0,120.0,270.0,0.6,DECIDED_V1
Renewal,Certification,Certifié,Réévaluation,Unitaire,190.0,60.0,130.0,0.6,DECIDED_V1
B2B Team,B2B,Entreprise,10 sièges,Annuel,12000.0,4200.0,7800.0,0.55,DECIDED_V1
B2B Growth,B2B,Entreprise,50 sièges,Annuel,39000.0,13650.0,25350.0,0.55,DECIDED_V1
B2B Enterprise,B2B,Entreprise,100 sièges,Annuel,69000.0,24150.0,44850.0,0.55,DECIDED_V1
B2G Pilot,B2G,Institution,25 apprenants,Programme,35000.0,15750.0,19250.0,0.45,DECIDED_V1
B2G Territory,B2G,Institution,100 apprenants,Programme,120000.0,54000.0,66000.0,0.45,DECIDED_V1
B2G Large,B2G,Institution,250 apprenants,Programme,250000.0,112500.0,137500.0,0.45,DECIDED_V1
Learning-to-Work,Mission Economy,Client/partenaire,Matching + ops mission,12% GMV min €150,150.0,30.0,120.0,0.6,DECIDED_V1
Methodology/IP,Platform/IP,École/entreprise,Licence méthode,Annuel,25000.0,5000.0,20000.0,0.75,DECIDED_PHASE_2
Academy+Spatial,Platform/IP,Institution/entreprise,Licence plateforme + Spatial,Annuel,60000.0,12000.0,48000.0,0.75,DECIDED_PHASE_3
White-label Enterprise,Platform/IP,Enterprise,Licence + customisation,Annuel,120000.0,24000.0,96000.0,0.75,DECIDED_PHASE_3
Internal CVLN Capability,Internal Value,Entités CVLN,Qualification opérateur,Non commercial,0.0,0.0,0.0,0.0,DECIDED_INTERNAL
