Domaine,Code,Intitulé,Dimension,Contexte,Type,Statut,Notes
Kiltikonet,KLT-09,Network & Community Operations,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
Kiltikonet,KLT-10,Cultural Data & Network Analytics,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
Kiltikonet,KLT-11,Cultural Identity & Profile Intelligence,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
Kiltikonet,KLT-12,"Cultural Search, Discovery & Recommendation",SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
Kiltikonet,KLT-13,"Terrain Operations, Accreditation & NFC",SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
Kiltikonet,KLT-14,Kiltikonet Economy & Fintech Operations,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
Kiltikonet,KLT-15,Professional Social & Cultural Feed Operations,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
Kiltikonet,KLT-16,Kiltikonet AI & Brain Operations,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
Kiltikonet,KLT-17,"Identity, Access & Platform Security Operations",SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
Kiltikonet,KLT-18,Cultural Communications & Engagement Operations,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
Kiltikonet,KLT-19,Opportunity & Candidature Operations,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
Kiltikonet,KLT-20,Cultural Network Intelligence & Smart Engine,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
FMS,FMS-07,Studio Operations & Session Management,MARKET,EXTERNAL,Formation,CANDIDATE,
FMS,FMS-08,Recording Engineering,MARKET,EXTERNAL,Formation,CANDIDATE,
FMS,FMS-09,Mixing & Mastering,MARKET,EXTERNAL,Formation,CANDIDATE,
FMS,FMS-10,Audiovisual Production,MARKET,EXTERNAL,Formation,CANDIDATE,
FMS,FMS-11,Creative Direction & Visual Production,MARKET,EXTERNAL,Formation,CANDIDATE,
FMS,FMS-12,Event Creative Direction & Live Production,MARKET,EXTERNAL,Formation,CANDIDATE,
FMS,FMS-13,A&R & Talent Scouting,MARKET,EXTERNAL,Formation,CANDIDATE,
FMS,FMS-14,Artist Project & Production Coordination,MARKET,EXTERNAL,Formation,CANDIDATE,
FMS,FMS-15,Studio Client & Commercial Operations,MARKET,EXTERNAL,Formation,CANDIDATE,
FMS,FMS-16,"Booking, Resource & Studio Planning",MARKET,EXTERNAL,Formation,CANDIDATE,
FMS,FMS-17,Creative Content & Portfolio Operations,MARKET,EXTERNAL,Formation,CANDIDATE,
FMS,FMS-18,FMS Ecosystem Operations,CROSS_ECOSYSTEM,BRIDGE,Formation,CANDIDATE,
FREK,FRK-01,FREK Foundations & Cultural Trust Infrastructure,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-02,FREKCORE Architecture & Ecosystem,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-03,FREK Operator,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
FREK,FRK-04,Cultural Provenance & Digital Trust,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-05,FREK Ecosystem Integration,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-06,FREK-ID Operations,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
FREK,FRK-07,Digital Identity Engineering,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-08,DID & Verifiable Credentials,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-09,"Identity Lifecycle, Recovery & Reconciliation",MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-10,"EUDI, SD-JWT & Interoperable Identity",MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-11,Digital Provenance Specialist,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-12,Evidence Engineering,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-13,FREK Proof Engine,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-14,Chain of Custody & Evidence Semantics,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-15,Technical Evidence Reports & Verification,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-16,FREK Digital Notary,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
FREK,FRK-17,Trusted Timestamping & Anchoring,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-18,Bitcoin / OpenTimestamps Proof Operations,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-19,"Chain Monitoring, Resilience & Watchdog",MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-20,Offline Proof & Verification,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-21,.fk Cultural Object Format,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-22,.fk Packaging & Validation,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-23,Cultural Object Modeling,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-24,FREK Registry & Object Operations,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-25,"Schemas, Taxonomies & Object Standards",MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-26,Relationship & Provenance Graphs,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-27,Cultural Knowledge Graph Engineering,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-28,Event Registry & Event-Driven Provenance,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-29,Cultural Fingerprint Foundations,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-30,Cultural Fingerprint Engineering,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-31,"Affinity, Resonance & Cadence Signals",MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-32,"Context, Device & Consent Signals",MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-33,Creative Lifecycle & Cultural Memory,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-34,"Works, Tracks, Albums & Creative Identity",MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-35,"Versions, Derivatives, Credits & Contributions",MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-36,FREKRAW & Authentic Media Capture,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-37,Source & Device Attestation,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-38,Media Integrity & Anti-Tamper Verification,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-39,FREKANSLA Operator,SYSTEM_CVLN,INTERNAL,Formation,CANDIDATE,
FREK,FRK-40,DAW Provenance & Creative Session Tracking,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-41,"Stems, Versions, Credits & Music Proof",MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-42,Offline Proof Transport,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-43,Store-and-Forward Cultural Infrastructure,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-44,"Offline Recovery, Synchronization & Reconciliation",MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-45,"FREK Roles, Permissions & Delegation",MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-46,Trust Governance & Policy Enforcement,MARKET,EXTERNAL,Formation,CANDIDATE,
FREK,FRK-47,Audit Trail & Institutional Accountability,MARKET,EXTERNAL,Formation,CANDIDATE,
