Politique,Décision V1,Règle,Statut
Accès gratuit,Orientation uniquement,"Aucune certification, mission garantie ou contenu interne",DECIDED_V1
Paiement fractionné,3x sans frais dès €300,Pas de 6x en V1,DECIDED_V1
Bourses,10% des places cohortes,Sponsor/B2G/budget impact,DECIDED_V1
Promotions,Pas de soldes permanentes,Annual discount + bourses + partenariats,DECIDED_V1
Annual discount,16.7%,Déjà intégré aux prix annuels,DECIDED_V1
Partenaires acquisition,15% max,Revenu encaissé attribuable,DECIDED_V1
Réinvestissement contenu,10% du CA,Contenu + Spatial + assessment + qualité,DECIDED_V1
BRIDGE,Non vendu seul,Career/B2B/B2G/sponsor,DECIDED_V1
Cross-CVLN,Pas de micro-cours B2C,B2B/B2G/Enterprise/interne,DECIDED_V1
Internal restricted,Jamais vendu,Accès par rôle/gouvernance,DECIDED_V1
Mission fee candidat,€0,Aucun pay-to-work,DECIDED_V1
Mission fee client,12% GMV min €150,Mission/projet,DECIDED_V1
Placement permanent,Absent V1,Pas de fee recrutement permanent,DECIDED_V1
Qualification standard,24 mois,Requalification à échéance/version majeure,DECIDED_V1
Qualification sensible,12 mois,Cyber/finance/privileged,DECIDED_V1
Executive authority,Jamais délivrée par Academy,Mandat gouvernance uniquement,DECIDED_V1
Claims financements/certifications publiques,Preuve préalable,Aucun RNCP/CPF/éligibilité sans source vérifiée,DECIDED_V1
CVE/JCC,Séparés du pricing public,EUR reste unité de prix,DECIDED_V1
